price	n_bedrooms	place	url	address	distance	time
$1660	1br	UTC/La Jolla	https://sandiego.craigslist.org//nsd/apa/5452419887.html	Nobel drive at Genesee and Cargill	3.5 mi	10 mins
$2095	2br	La Jolla, San Dieg, near the Coveo	https://sandiego.craigslist.org//nsd/apa/5442682104.html	1129 Torrey Pines	1,294 mi	18 hours 4 mins
$2225	2br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/4S Ranch/Downtown	https://sandiego.craigslist.org//csd/apa/5452363510.html	9800 Mira Lee	14.7 mi	22 mins
$2495	2br	La Jolla	https://sandiego.craigslist.org//csd/apa/5445421334.html	3236 Caminito Eastbluff	2.7 mi	7 mins
$2340	2br	UTC/ La Jolla	https://sandiego.craigslist.org//csd/apa/5452319519.html	Lebon Drive at Nobel Drive	2.7 mi	8 mins
$2625	2br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5452277759.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2025	1br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5452277173.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2850	3br	Carmel Valley/Torrey Hills/ Del Mar	https://sandiego.craigslist.org//csd/apa/5452281219.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$1749	1br	UTC/La Jolla	https://sandiego.craigslist.org//csd/apa/5452238688.html	3520 Lebon	2.6 mi	8 mins
$1749		UTC/La Jolla	https://sandiego.craigslist.org//csd/apa/5452239350.html	3520 Lebon	2.6 mi	8 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5452198507.html	4525 Campus Ave	15.2 mi	21 mins
$1925	1br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/Downtown/UTC	https://sandiego.craigslist.org//csd/apa/5448979366.html	Westview Parkway at mira mesa blvd	15.1 mi	22 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5452205364.html	4525 Campus Ave	15.2 mi	21 mins
$2565	2br	UCSD UTC San Diego	https://sandiego.craigslist.org//csd/apa/5452218493.html	8465 Regents Road	3.1 mi	9 mins
$6000	3br	Del Mar	https://sandiego.craigslist.org//nsd/apa/5444099213.html	2230 El Amigo Rd	5.0 mi	12 mins
$2000	2br	San Diego (UTC	https://sandiego.craigslist.org//csd/apa/5428754917.html	Caminito Plaza Centro at lebon dr	2.7 mi	8 mins
$1695		La Jolla, CA	https://sandiego.craigslist.org//csd/apa/5438408909.html	Prospect Street at Cave	4.8 mi	14 mins
$1695		Downtown La Jolla Village	https://sandiego.craigslist.org//csd/apa/5439397127.html	Prospect Street at Cave	4.8 mi	14 mins
$1895	1br	Sn Diego (Utc	https://sandiego.craigslist.org//csd/apa/5439891163.html	Lebon dr at Nobel Drive	2.7 mi	8 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5452184331.html	4525 Campus Ave	15.2 mi	21 mins
$1667	1br	UTC / La Jolla / University City	https://sandiego.craigslist.org//csd/apa/5452185841.html	4247 Nobel Dr.	3.5 mi	10 mins
$2875	3br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/Downtown/UTC	https://sandiego.craigslist.org//csd/apa/5448999762.html	Westview Parkway at mira mesa blvd	15.1 mi	22 mins
$1595	1br	UTC/La Jolla	https://sandiego.craigslist.org//csd/apa/5452190058.html	caminito Plaza Centro at nobel Drive	2.7 mi	8 mins
$2840	2br	UCSD UTC San Diego	https://sandiego.craigslist.org//csd/apa/5452165031.html	Regents Road at Nobel Road	3.8 mi	11 mins
$1825	1br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/Downtown/UTC	https://sandiego.craigslist.org//csd/apa/5452135067.html	Westview Parkway at mira mesa blvd	15.1 mi	22 mins
$1800	1br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/Downtown/UTC	https://sandiego.craigslist.org//csd/apa/5445157166.html	Westview Parkway at mira mesa blvd	15.1 mi	22 mins
$1408	1br	La Jolla, UCSD, San Diego, UTC	https://sandiego.craigslist.org//csd/apa/5452091991.html	via mallorca at villa la jolla drive	2.6 mi	7 mins
$3500	4br	University City	https://sandiego.craigslist.org//csd/apa/5452089687.html	5577 Honors Dr.	5.6 mi	12 mins
$1595	1br	west clairemont	https://sandiego.craigslist.org//csd/apa/5452084549.html	Genesee Avenue at Balboa Avenue	7.0 mi	13 mins
$1795	2br	west clairemont	https://sandiego.craigslist.org//csd/apa/5452086192.html	Genesee Avenue at Balboa Avenue	7.0 mi	13 mins
$3125	3br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/4S Ranch/Downtown	https://sandiego.craigslist.org//csd/apa/5448068564.html	9800 Mira Lee	14.7 mi	22 mins
$1895	2br	La Jolla / UTC / San Diego	https://sandiego.craigslist.org//csd/apa/5452042625.html	9515 Genesee Ave	2.3 mi	7 mins
$1595	1br	UTC/La Jolla	https://sandiego.craigslist.org//csd/apa/5444025129.html	3957 Nobel Drive	3.2 mi	9 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5451960827.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5451957835.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5451959097.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5451920124.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5451928216.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5451924089.html	3520 Lebon	2.6 mi	8 mins
$1950	1br	UTC	https://sandiego.craigslist.org//csd/apa/5431880218.html	Nobel at Lebon	3.5 mi	10 mins
$1400	1br	Hillcrest	https://sandiego.craigslist.org//csd/apa/5434870716.html	4th ave at Arbor	14.4 mi	19 mins
$1400	1br		https://sandiego.craigslist.org//csd/apa/5435647694.html	4th ave at Arbor	14.4 mi	19 mins
$1400	1br	Hillcrest	https://sandiego.craigslist.org//csd/apa/5446422758.html	4th Ave at Arbor	14.4 mi	19 mins
$1400	1br	Hillcrest	https://sandiego.craigslist.org//csd/apa/5447664594.html	4th street at Arbor	14.4 mi	19 mins
$4000	4br	UTC Area	https://sandiego.craigslist.org//csd/apa/5421463913.html	Lakewood	1,069 mi	15 hours 23 mins
$1750	1br	Hillcrest	https://sandiego.craigslist.org//csd/apa/5451561893.html	4023 First Ave		
$1450	1br	4376 Kansas St.	https://sandiego.craigslist.org//csd/apa/5451517285.html	4376 Kansas St.	14.9 mi	22 mins
$875	1br	UTC	https://sandiego.craigslist.org//csd/apa/5451414730.html	Genesse at Governor	7.0 mi	13 mins
$2775	3br	UTC, SAN DIEGO, LA JOLLA, TORREY HILLS	https://sandiego.craigslist.org//csd/apa/5451347354.html	9085 Judicial Drive	3.5 mi	11 mins
$1850	2br	San Diego, CA	https://sandiego.craigslist.org//csd/apa/5451365482.html	8320 Regents Rd	3.6 mi	10 mins
$2210	2br	La Jolla	https://sandiego.craigslist.org//nsd/apa/5451336553.html	7936 Avenida Navidad	3.8 mi	12 mins
$1408	1br	La Jolla, UCSD, San Diego, UTC	https://sandiego.craigslist.org//csd/apa/5451322826.html	via mallorca at villa la jolla drive	2.6 mi	7 mins
$5100	5br	Carmel Valley/Del Mar	https://sandiego.craigslist.org//nsd/apa/5451319114.html	pearlman way at seashell Place	7.6 mi	13 mins
$2300	1br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5451261537.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2900	3br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5451275371.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2750	2br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5451272561.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2050	2br	La Jolla / UTC / San Diego	https://sandiego.craigslist.org//csd/apa/5451221513.html	9515 Genesee Ave	2.3 mi	7 mins
$1860	1br	La Jolla	https://sandiego.craigslist.org//nsd/apa/5451226579.html	7936 Avenida Navidad	3.8 mi	12 mins
$1350	1br	North Park	https://sandiego.craigslist.org//csd/apa/5439580488.html	3943 Kansas St	1,486 mi	20 hours 50 mins
$2240	2br	UTC/La Jolla	https://sandiego.craigslist.org//nsd/apa/5451044489.html	7936 Avenida Navidad	3.8 mi	12 mins
$2210	2br	La Jolla/UTC	https://sandiego.craigslist.org//nsd/apa/5451035772.html	7936 Avenida Navidad	3.8 mi	12 mins
$3300	3br	Pacific Beach N	https://sandiego.craigslist.org//csd/apa/5451024376.html	Turquoise St. at Cass St.	7.0 mi	17 mins
$2325	2br	UTC, GOLDEN TRIANGLE, MIRAMAR	https://sandiego.craigslist.org//csd/apa/5438873686.html	9085 Judicial Dr	3.5 mi	11 mins
$1408	1br	La Jolla, UCSD, San Diego, UTC	https://sandiego.craigslist.org//csd/apa/5450808870.html	via mallorca at villa la jolla drive	2.6 mi	7 mins
$1400	1br	Del Mar is Paradise	https://sandiego.craigslist.org//csd/apa/5446970999.html	Carmel Valley Road	2,837 mi	1 day 18 hours
$1595	1br	La Jolla	https://sandiego.craigslist.org//nsd/apa/5446654224.html	3056 Via Alicante	2.4 mi	6 mins
$2600	2br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/4S Ranch/Downtown	https://sandiego.craigslist.org//csd/apa/5446955497.html	9800 Mira Lee	14.7 mi	22 mins
$2350	2br		https://sandiego.craigslist.org//csd/apa/5445413473.html	848 Chalcedony Street	7.6 mi	20 mins
$1995	3br	San Diego, CA	https://sandiego.craigslist.org//csd/apa/5450714367.html	17th Street at Island Street	16.2 mi	22 mins
$2225	1br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/Downtown/UTC	https://sandiego.craigslist.org//csd/apa/5446959079.html	Westview Parkway at mira mesa blvd	15.1 mi	22 mins
$1825	1br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/Downtown/UTC	https://sandiego.craigslist.org//csd/apa/5446469340.html	Westview Parkway at mira mesa blvd	15.1 mi	22 mins
$2115	2br	UTC, La Jolla	https://sandiego.craigslist.org//csd/apa/5450662645.html	3845 Nobel Drive	3.0 mi	9 mins
$2875	3br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/4S Ranch/Downtown	https://sandiego.craigslist.org//csd/apa/5447666609.html	9800 Mira Lee	14.7 mi	22 mins
$2200	2br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/4S Ranch/Downtown	https://sandiego.craigslist.org//csd/apa/5447658819.html	9800 Mira Lee	14.7 mi	22 mins
$1700	1br	La Jolla	https://sandiego.craigslist.org//nsd/apa/5450627037.html	8540	1 ft	1 min
$1695	1br	La Jolla, CA	https://sandiego.craigslist.org//nsd/apa/5450589049.html	Charmant Dr. at Lebon Dr.	3.3 mi	10 mins
$195	1br	Banker's Hill/Downtown	https://sandiego.craigslist.org//csd/apa/5450577469.html	410 Elm St	3,121 mi	1 day 21 hours
$2025	1br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5450558987.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2625	2br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5450559429.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$1550	1br	La Jolla	https://sandiego.craigslist.org//csd/apa/5450492619.html	3151 Via Alicante	2.5 mi	6 mins
